[2026-09-18 10:05:57] ===== START R5_late_decay =====
[2026-09-18 10:05:57] python -u train.py --config configs/cifar10_fid15_r5_late_decay.yaml
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:276: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled=use_amp and amp_dtype == torch.float16)
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:343: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp, dtype=amp_dtype):
[epoch 024 step 009600] loss=0.04293 lr=2.000e-04
[epoch 024 step 009700] loss=0.06564 lr=2.000e-04
[epoch 025 step 009800] loss=0.06237 lr=2.000e-04
[epoch 025 step 009900] loss=0.05811 lr=2.000e-04
[epoch 025 step 010000] loss=0.05860 lr=2.000e-04
[epoch 025 step 010100] loss=0.04755 lr=2.000e-04
[epoch 026 step 010200] loss=0.05458 lr=2.000e-04
[epoch 026 step 010300] loss=0.06605 lr=2.000e-04
[epoch 026 step 010400] loss=0.05435 lr=2.000e-04
[epoch 026 step 010500] loss=0.06646 lr=2.000e-04
[epoch 027 step 010600] loss=0.05340 lr=2.000e-04
[epoch 027 step 010700] loss=0.06226 lr=2.000e-04
[epoch 027 step 010800] loss=0.04831 lr=2.000e-04
[epoch 027 step 010900] loss=0.06938 lr=2.000e-04
[epoch 028 step 011000] loss=0.06425 lr=2.000e-04
[epoch 028 step 011100] loss=0.06577 lr=2.000e-04
[epoch 028 step 011200] loss=0.04048 lr=2.000e-04
[epoch 028 step 011300] loss=0.06407 lr=2.000e-04
[epoch 029 step 011400] loss=0.06300 lr=2.000e-04
[epoch 029 step 011500] loss=0.06065 lr=2.000e-04
[epoch 029 step 011600] loss=0.05523 lr=2.000e-04
[epoch 029 step 011700] loss=0.04143 lr=2.000e-04
[epoch 030 step 011800] loss=0.06708 lr=2.000e-04
[epoch 030 step 011900] loss=0.06402 lr=2.000e-04
[epoch 030 step 012000] loss=0.04569 lr=2.000e-04
[epoch 030 attempt 012057] optimizer step skipped; scaler=2097152.0
[epoch 031 step 012100] loss=0.05734 lr=2.000e-04
[epoch 031 step 012200] loss=0.06125 lr=2.000e-04
[epoch 031 step 012300] loss=0.04556 lr=2.000e-04
[epoch 031 step 012400] loss=0.06236 lr=2.000e-04
[epoch 032 step 012500] loss=0.05390 lr=2.000e-04
[epoch 032 step 012600] loss=0.05431 lr=2.000e-04
[epoch 032 step 012700] loss=0.04439 lr=2.000e-04
[epoch 032 step 012800] loss=0.05274 lr=2.000e-04
[epoch 033 step 012900] loss=0.05352 lr=2.000e-04
[epoch 033 step 013000] loss=0.06511 lr=2.000e-04
[epoch 033 step 013100] loss=0.06984 lr=2.000e-04
[epoch 033 step 013200] loss=0.05507 lr=2.000e-04
[epoch 034 step 013300] loss=0.06107 lr=2.000e-04
[epoch 034 step 013400] loss=0.06762 lr=2.000e-04
[epoch 034 step 013500] loss=0.06437 lr=2.000e-04
[epoch 034 step 013600] loss=0.06592 lr=2.000e-04
[epoch 035 step 013700] loss=0.05745 lr=2.000e-04
[epoch 035 step 013800] loss=0.06191 lr=2.000e-04
[epoch 035 step 013900] loss=0.05832 lr=2.000e-04
[epoch 035 step 014000] loss=0.06416 lr=2.000e-04
[epoch 036 attempt 014059] optimizer step skipped; scaler=2097152.0
[epoch 036 step 014100] loss=0.06506 lr=2.000e-04
[epoch 036 step 014200] loss=0.06491 lr=2.000e-04
[epoch 036 step 014300] loss=0.05775 lr=2.000e-04
[epoch 036 step 014400] loss=0.05750 lr=2.000e-04
[epoch 037 step 014500] loss=0.05447 lr=2.000e-04
[epoch 037 step 014600] loss=0.05691 lr=2.000e-04
[epoch 037 step 014700] loss=0.05247 lr=2.000e-04
[epoch 037 step 014800] loss=0.06739 lr=2.000e-04
[epoch 038 step 014900] loss=0.05642 lr=2.000e-04
[epoch 038 step 015000] loss=0.06191 lr=2.000e-04
[epoch 038 step 015100] loss=0.05562 lr=2.000e-04
[epoch 038 step 015200] loss=0.06742 lr=2.000e-04
[epoch 039 step 015300] loss=0.05669 lr=2.000e-04
[epoch 039 step 015400] loss=0.05707 lr=2.000e-04
[epoch 039 step 015500] loss=0.06072 lr=2.000e-04
[epoch 040 step 015600] loss=0.06743 lr=2.000e-04
[epoch 040 step 015700] loss=0.06062 lr=2.000e-04
[epoch 040 step 015800] loss=0.05533 lr=2.000e-04
[epoch 040 step 015900] loss=0.05591 lr=2.000e-04
[epoch 041 step 016000] loss=0.05851 lr=2.000e-04
[epoch 041 attempt 016071] optimizer step skipped; scaler=2097152.0
[epoch 041 step 016100] loss=0.05098 lr=2.000e-04
[epoch 041 step 016200] loss=0.07418 lr=2.000e-04
