step,epoch,loss,lr,optimizer_step_skipped
78001.0,200.0,0.02837856486439705,0.0002,0.0
78002.0,200.0,0.03134274110198021,0.0002,0.0
78003.0,200.0,0.03723074495792389,0.00019999999463558198,0.0
78004.0,200.0,0.030705701559782028,0.00019999999463558198,0.0
78005.0,200.0,0.019328538328409195,0.00019999998390674592,0.0
78006.0,200.0,0.029215805232524872,0.0001999999785423279,0.0
78007.0,200.0,0.027367299422621727,0.00019999996781349183,0.0
78008.0,200.0,0.027412641793489456,0.00019999995708465577,0.0
78009.0,200.0,0.02646387368440628,0.00019999994099140168,0.0
78010.0,200.0,0.02812652289867401,0.0001999999248981476,0.0
78011.0,200.0,0.03333887457847595,0.0001999999088048935,0.0
78012.0,200.0,0.023860782384872437,0.00019999988734722138,0.0
78013.0,200.0,0.03584596514701843,0.00019999986588954926,0.0
78014.0,200.0,0.024273961782455444,0.00019999984443187715,0.0
78015.0,200.0,0.03023160621523857,0.00019999982297420503,0.0
78016.0,200.0,0.02707640826702118,0.00019999979615211488,0.0
78017.0,200.0,0.023989593610167503,0.0001999997639656067,0.0
78018.0,200.0,0.03282696753740311,0.00019999973714351655,0.0
78019.0,200.0,0.04132477566599846,0.00019999970495700837,0.0
78020.0,200.0,0.02947816252708435,0.00019999966740608216,0.0
78021.0,200.0,0.020779874175786972,0.00019999963521957398,0.0
78022.0,200.0,0.026400452479720116,0.00019999959766864778,0.0
78023.0,200.0,0.024894703179597855,0.00019999955475330354,0.0
78024.0,200.0,0.026405861601233482,0.00019999951720237733,0.0
78025.0,200.0,0.029154151678085327,0.0001999994742870331,0.0
78026.0,200.0,0.02843926101922989,0.00019999942600727082,0.0
78027.0,200.0,0.027489526197314262,0.00019999937772750855,0.0
78028.0,200.0,0.027080131694674492,0.00019999932944774629,0.0
78029.0,200.0,0.024779316037893295,0.00019999928116798402,0.0
78030.0,200.0,0.026069696992635727,0.00019999922752380372,0.0
78031.0,200.0,0.026057099923491478,0.00019999917387962342,0.0
78032.0,200.0,0.031316742300987244,0.00019999912023544312,0.0
78033.0,200.0,0.022962816059589386,0.0001999990612268448,0.0
78034.0,200.0,0.02969227358698845,0.00019999900221824647,0.0
78035.0,200.0,0.03235191851854324,0.0001999989378452301,0.0
78036.0,200.0,0.02989548072218895,0.00019999887883663178,0.0
78037.0,200.0,0.028069941326975822,0.0001999988090991974,0.0
78038.0,200.0,0.028491467237472534,0.00019999874472618104,0.0
78039.0,200.0,0.023823700845241547,0.00019999867498874665,0.0
78040.0,200.0,0.026631420478224754,0.00019999860525131226,0.0
78041.0,200.0,0.025624101981520653,0.00019999853014945985,0.0
78042.0,200.0,0.03756743296980858,0.00019999846041202546,0.0
78043.0,200.0,0.03871310502290726,0.000199998379945755,0.0
78044.0,200.0,0.03161592036485672,0.0001999983048439026,0.0
